ResponseID,Timestamp,Event,Department,EventType,Rating,Comments
R0001,2025-07-05 18:36:52.129125,Data Visualization Session,Data Science,Workshop,5,Really enjoyed the session — very informative and engaging.
R0002,2025-09-07 16:32:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,4,Great speakers and practical examples. Loved it! Too long.
R0003,2025-09-04 15:40:52.129125,Cultural Night,Cultural Club,Cultural,5,
R0004,2025-07-08 05:45:52.129125,Data Visualization Session,Data Science,Workshop,5,Fun and interactive. The cohort participation was great.
R0005,2025-08-15 19:12:52.129125,Data Visualization Session,Data Science,Workshop,4,Fun and interactive. The cohort participation was great.
R0006,2025-07-24 16:56:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,2,"Not what I expected, the content was confusing."
R0007,2025-08-14 01:12:52.129125,AI Workshop,Computer Science,Workshop,5,Really enjoyed the session — very informative and engaging.
R0008,2025-07-07 01:55:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,3,
R0009,2025-07-02 17:12:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,3,"It was okay, some parts were useful."
R0010,2025-09-11 13:43:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,3,"Somewhat informative, but pacing felt off. Too long."
R0011,2025-08-09 22:29:52.129125,Music Fest,Cultural Club,Cultural,5,Fun and interactive. The cohort participation was great.
R0012,2025-08-30 11:53:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,3,"It was okay, some parts were useful."
R0013,2025-06-25 19:17:52.129125,Cultural Night,Cultural Club,Cultural,4,Very useful content; would attend similar events again.
R0014,2025-07-16 03:42:52.129125,Design Thinking Workshop,Design Dept,Workshop,4,Well organized and helpful. Learned a lot.
R0015,2025-07-04 09:59:52.129125,Cultural Night,Cultural Club,Cultural,3,Average experience. Could be better organized.
R0016,2025-09-18 13:16:52.129125,Design Thinking Workshop,Design Dept,Workshop,5,Really enjoyed the session — very informative and engaging. Good examples.
R0017,2025-08-24 08:24:52.129125,Guest Lecture: Ethics in Tech,Philosophy Dept,Seminar,3,
R0018,2025-06-28 09:32:52.129125,Data Visualization Session,Data Science,Workshop,5,Well organized and helpful. Learned a lot.
R0019,2025-07-21 12:20:52.129125,Design Thinking Workshop,Design Dept,Workshop,3,Neutral — neither very good nor very bad.
R0020,2025-07-20 23:59:52.129125,AI Workshop,Computer Science,Workshop,4,
R0021,2025-07-02 11:55:52.129125,Music Fest,Cultural Club,Cultural,5,Fun and interactive. The cohort participation was great.
R0022,2025-08-11 05:57:52.129125,Data Visualization Session,Data Science,Workshop,5,Very useful content; would attend similar events again.
R0023,2025-06-24 00:30:52.129125,Data Visualization Session,Data Science,Workshop,4,Fun and interactive. The cohort participation was great.
R0024,2025-08-18 00:14:52.129125,Startup Pitch Day,Entrepreneurship Club,Seminar,5,Fun and interactive. The cohort participation was great. Venue issues.
R0025,2025-07-28 16:01:52.129125,Career Talk: Resume & Interview,Career Services,Seminar,4,Really enjoyed the session — very informative and engaging.
