Order ID,Order Date,Customer Name,Region,Category,Sub-Category,Product Name,Sales,Quantity,Profit
ORD-1000,2021-01-01 00:00:00.000000000,Customer_103,West,Technology,Copiers,Copiers Product 16,1520.28,4,356.77
ORD-1001,2021-01-01 05:15:08.101620324,Customer_436,South,Furniture,Tables,Tables Product 18,245.29,9,-31.27
ORD-1002,2021-01-01 10:30:16.203240648,Customer_861,East,Office Supplies,Art,Art Product 16,746.23,3,35.62
ORD-1003,2021-01-01 15:45:24.304860972,Customer_271,East,Technology,Phones,Phones Product 17,311.45,5,86.09
ORD-1004,2021-01-01 21:00:32.406481296,Customer_107,South,Technology,Phones,Phones Product 7,523.37,9,58.88
ORD-1005,2021-01-02 02:15:40.508101620,Customer_72,North,Office Supplies,Storage,Storage Product 12,313.84,6,49.78
ORD-1006,2021-01-02 07:30:48.609721944,Customer_701,East,Technology,Copiers,Copiers Product 34,1774.68,2,27.72
ORD-1007,2021-01-02 12:45:56.711342268,Customer_21,North,Furniture,Tables,Tables Product 10,1466.49,1,-278.68
ORD-1008,2021-01-02 18:01:04.812962592,Customer_615,East,Technology,Phones,Phones Product 5,1126.25,1,138.6
ORD-1009,2021-01-02 23:16:12.914582916,Customer_122,North,Furniture,Bookcases,Bookcases Product 21,456.61,7,52.95
ORD-1010,2021-01-03 04:31:21.016203240,Customer_467,North,Furniture,Tables,Tables Product 3,1025.35,2,-148.46
ORD-1011,2021-01-03 09:46:29.117823564,Customer_215,North,Technology,Copiers,Copiers Product 19,1046.46,7,32.52
ORD-1012,2021-01-03 15:01:37.219443888,Customer_331,South,Office Supplies,Binders,Binders Product 45,1184.9,1,305.31
ORD-1013,2021-01-03 20:16:45.321064212,Customer_459,North,Furniture,Tables,Tables Product 44,129.57,4,-12.63
ORD-1014,2021-01-04 01:31:53.422684536,Customer_88,North,Office Supplies,Binders,Binders Product 35,1946.07,4,59.45
ORD-1015,2021-01-04 06:47:01.524304861,Customer_373,North,Technology,Accessories,Accessories Product 6,936.22,5,28.6
ORD-1016,2021-01-04 12:02:09.625925185,Customer_100,East,Furniture,Bookcases,Bookcases Product 14,1853.8,1,380.73
ORD-1017,2021-01-04 17:17:17.727545509,Customer_872,North,Technology,Copiers,Copiers Product 4,29.52,7,6.27
ORD-1018,2021-01-04 22:32:25.829165833,Customer_664,East,Office Supplies,Storage,Storage Product 45,502.64,2,90.29
ORD-1019,2021-01-05 03:47:33.930786157,Customer_131,North,Technology,Copiers,Copiers Product 18,216.95,2,-3.75
ORD-1020,2021-01-05 09:02:42.032406481,Customer_662,North,Technology,Copiers,Copiers Product 29,1541.54,8,-252.78
ORD-1021,2021-01-05 14:17:50.134026805,Customer_309,South,Furniture,Furnishings,Furnishings Product 35,647.05,9,-16.34
ORD-1022,2021-01-05 19:32:58.235647129,Customer_770,East,Technology,Copiers,Copiers Product 38,1682.58,6,235.39
ORD-1023,2021-01-06 00:48:06.337267453,Customer_344,North,Technology,Accessories,Accessories Product 16,1666.45,1,252.26
ORD-1024,2021-01-06 06:03:14.438887777,Customer_492,East,Technology,Phones,Phones Product 20,1338.91,1,378.24
ORD-1025,2021-01-06 11:18:22.540508101,Customer_414,East,Furniture,Chairs,Chairs Product 24,1334.91,7,35.8
ORD-1026,2021-01-06 16:33:30.642128425,Customer_806,West,Office Supplies,Storage,Storage Product 35,1403.32,8,163.09
ORD-1027,2021-01-06 21:48:38.743748749,Customer_386,South,Office Supplies,Art,Art Product 44,1350.79,3,94.01
ORD-1028,2021-01-07 03:03:46.845369073,Customer_192,South,Technology,Copiers,Copiers Product 19,779.95,9,-97.25
ORD-1029,2021-01-07 08:18:54.946989397,Customer_956,South,Furniture,Furnishings,Furnishings Product 4,1368.83,4,41.89
ORD-1030,2021-01-07 13:34:03.048609722,Customer_277,West,Technology,Phones,Phones Product 33,1795.84,4,130.05
ORD-1031,2021-01-07 18:49:11.150230046,Customer_161,West,Office Supplies,Binders,Binders Product 2,671.82,3,185.0
ORD-1032,2021-01-08 00:04:19.251850370,Customer_460,South,Furniture,Bookcases,Bookcases Product 13,1890.33,8,-31.63
ORD-1033,2021-01-08 05:19:27.353470694,Customer_314,West,Office Supplies,Storage,Storage Product 45,37.03,9,10.74
ORD-1034,2021-01-08 10:34:35.455091018,Customer_22,West,Office Supplies,Binders,Binders Product 30,704.67,1,50.14
ORD-1035,2021-01-08 15:49:43.556711342,Customer_253,West,Furniture,Furnishings,Furnishings Product 34,272.88,2,-21.49
ORD-1036,2021-01-08 21:04:51.658331666,Customer_748,South,Furniture,Furnishings,Furnishings Product 30,261.97,1,-27.29
ORD-1037,2021-01-09 02:19:59.759951990,Customer_857,South,Technology,Machines,Machines Product 24,1632.7,4,-210.87
ORD-1038,2021-01-09 07:35:07.861572314,Customer_561,South,Technology,Phones,Phones Product 48,1837.55,7,48.63
ORD-1039,2021-01-09 12:50:15.963192638,Customer_475,West,Office Supplies,Paper,Paper Product 44,1557.74,7,-294.47
ORD-1040,2021-01-09 18:05:24.064812962,Customer_59,South,Furniture,Furnishings,Furnishings Product 33,1953.47,6,44.0
ORD-1041,2021-01-09 23:20:32.166433286,Customer_511,West,Furniture,Bookcases,Bookcases Product 41,440.49,5,129.59
ORD-1042,2021-01-10 04:35:40.268053610,Customer_682,North,Technology,Accessories,Accessories Product 49,290.19,4,39.19
ORD-1043,2021-01-10 09:50:48.369673934,Customer_476,West,Office Supplies,Art,Art Product 10,1046.2,8,188.2
ORD-1044,2021-01-10 15:05:56.471294258,Customer_700,East,Office Supplies,Paper,Paper Product 18,1659.78,7,-233.19
ORD-1045,2021-01-10 20:21:04.572914583,Customer_976,South,Technology,Accessories,Accessories Product 19,89.28,1,3.26
